model_name,variant,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,cv_mean_accuracy,cv_std_accuracy,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_roc_auc,cv_std_roc_auc
Class Weights Only,ablation,0.8688524590163934,0.8733766233766234,0.8125,0.9285714285714286,0.8666666666666667,0.9523809523809524,0.8511904761904763,0.04019870010139875,0.849346305868045,0.035457130423410144,0.8527272727272728,0.09502500758282371,0.8371541501976285,0.04760508176092436,0.8397424399981943,0.03294898940851423,0.9097102575363445,0.010036067430706822
Feature Eng. + Class Weights,ablation,0.8852459016393442,0.8885281385281385,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9512987012987013,0.846938775510204,0.05034056696818693,0.8444968075402859,0.046318488234725626,0.8540079744816585,0.09477319656456043,0.8197628458498023,0.02892135672715687,0.8334745482851347,0.04590167581035905,0.9085120998164478,0.013306797166905917
Baseline Logistic Regression,ablation,0.8688524590163934,0.8733766233766234,0.8125,0.9285714285714286,0.8666666666666667,0.9577922077922079,0.8470238095238095,0.021594956566396217,0.841897233201581,0.017356613008694913,0.8783262504086302,0.07089870442894844,0.7837944664031621,0.033715206501400995,0.8253529352696442,0.015038219310732187,0.9064947130164521,0.01916608403837501
Feature Engineering Only,ablation,0.8688524590163934,0.8733766233766234,0.8125,0.9285714285714286,0.8666666666666667,0.9534632034632035,0.8389455782312926,0.023140190990489033,0.8335056248099726,0.020273793522862116,0.8705340426164225,0.07483068289781328,0.774703557312253,0.04994959104956248,0.8156157839306623,0.018824511717369423,0.9047076112293505,0.019695516694250386
Soft Voting Ensemble,ablation,0.8852459016393442,0.8885281385281385,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9599567099567099,0.8346088435374149,0.019351544535348025,0.8301611432046213,0.014721151901005636,0.8580695216301624,0.08304932846051315,0.783399209486166,0.06132981379973541,0.8130748745463908,0.013843687304818254,0.8997353693005866,0.010431703624982717
